round_queries,500,1200,2200,7800,77100
round_k,1,5,19,85,385
round_shots,700,300,200,100
round_queries,700,900,2200,17900
round_k,1,5,24,89
round_shots,300,300,200,100
round_queries,300,900,2200,20900
round_k,1,5,23,104
round_shots,400,400,200,100
round_queries,400,1200,2200,17900
round_k,1,5,20,89
round_shots,300,400,200,100
round_queries,300,1200,2600,23300
round_k,1,6,33,116
round_shots,500,300,200,100
round_queries,500,900,2600,18900
round_k,1,6,25,94
round_shots,500,400,200,100,100
round_queries,500,1200,2200,3900,54700
round_k,1,5,19,63,273
round_shots,500,400,200,100
round_queries,500,1200,2600,26300
round_k,1,6,31,131
round_shots,200,400,200,100
round_queries,200,1200,2200,18100
round_k,1,5,24,90
round_shots,300,300,100,100,100
round_queries,300,900,1100,3500,43100
round_k,1,5,17,55,215
round_shots,200,400,200,100,100
round_queries,200,1200,2200,3900,65700
round_k,1,5,19,77,328
round_shots,400,300,200,300,100
round_queries,400,900,2200,12300,72700
round_k,1,5,20,81,363
round_shots,300,400,100,100,100
round_queries,300,1200,1100,3700,50900
round_k,1,5,18,62,254
round_shots,500,300,100,200,100
round_queries,500,900,1300,8200,66500
round_k,1,6,20,82,332
round_shots,400,400,200,100,100
round_queries,400,1200,2200,3900,61500
round_k,1,5,19,70,307
round_shots,500,400,200,100,100
round_queries,500,1200,2200,4900,72700
round_k,1,5,24,81,363
round_shots,400,300,200,100,100
round_queries,400,900,2200,3900,57900
round_k,1,5,19,70,289
round_shots,400,400,200,200,100
round_queries,400,1200,2200,7800,64900
round_k,1,5,19,92,324
round_shots,700,400,200,100
round_queries,700,1200,2600,24500
round_k,1,6,30,122
round_shots,400,400,200,100,100
round_queries,400,1200,2200,3900,44500
round_k,1,5,19,62,222
round_shots,300,300,200,100,100
round_queries,300,900,2200,4900,71300
round_k,1,5,24,88,356
round_shots,500,300,200,100,100
