round_queries,200,600,700,2900,13100,65500,323700,1642900,8389700
round_k,0,1,3,14,65,327,1618,8214,41948
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13100,60900,307300,1547700,7882100
round_k,0,1,3,14,65,304,1536,7738,39410
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,2100,8100,38500,195300,995900,5097900
round_k,0,1,10,40,192,976,4979,25489
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,3100,15300,72700,361100,1745700,8901100
round_k,0,1,3,15,76,363,1805,8728,44505
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11900,57300,282700,1429500,7289300
round_k,0,1,3,13,59,286,1413,7147,36446
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2500,11900,55300,271100,1378300,7053900
round_k,0,1,3,12,59,276,1355,6891,35269
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12700,62700,307500,1542900,7857100
round_k,0,1,3,14,63,313,1537,7714,39285
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1700,8100,38300,188100,948700,4842700
round_k,0,1,8,40,191,940,4743,24213
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12900,60900,305900,1543300,7871300
round_k,0,1,3,14,64,304,1529,7716,39356
