round_k,1,11,40,166,754,3996
round_shots,100,700,100,100,100,100
round_queries,100,2100,2500,7500,29300,654100
round_k,1,12,37,146,625,3270
round_shots,200,500,100,100,100,100
round_queries,200,1500,900,2900,10700,195900
round_k,1,4,14,53,206,979
round_shots,200,500,100,100,100,100
round_queries,200,1500,2100,7100,26500,587300
round_k,1,10,35,132,578,2936
round_shots,300,400,200,100,100,100
round_queries,300,1200,3800,9300,36700,886700
round_k,1,9,46,183,827,4433
round_shots,100,500,100,100,100,100
round_queries,100,1500,2100,7300,27300,627500
round_k,1,10,36,136,598,3137
round_shots,200,500,100,100,100,100
round_queries,200,1500,2100,6700,25500,566700
round_k,1,10,33,127,561,2833
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,8300,32100,794100
round_k,1,12,41,160,739,3970
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7100,25900,544700
round_k,1,11,35,129,565,2723
round_shots,200,600,100,100,100,100
round_queries,200,1800,900,2700,9900,183500
round_k,1,4,13,49,198,917
round_shots,300,400,100,100,100,100
round_queries,300,1200,900,2900,10100,195100
round_k,1,4,14,50,210,975
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,8100,30500,723100
round_k,1,12,40,152,682,3615
round_shots,100,400,100,100,100,100
round_queries,100,1200,900,3100,10300,191700
round_k,1,4,15,51,217,958
round_shots,200,300,100,100,100,100,100
round_queries,200,900,900,2700,9700,36500,858900
round_k,1,4,13,48,182,797,4294
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,6900,25300,588700
round_k,1,11,34,126,569,2943
round_shots,200,500,100,100,100,100
round_queries,200,1500,2100,6700,26100,609300
round_k,1,10,33,130,588,3046
round_shots,300,600,100,100,100,100
round_queries,300,1800,2300,7100,28900,652700
round_k,1,11,35,144,628,3263
round_shots,300,600,100,100,100,100
round_queries,300,1800,2300,7300,28100,638300
round_k,1,11,36,140,614,3191
round_shots,300,700,100,100,100,100
round_queries,300,2100,2700,9900,38700,989300
round_k,1,13,49,193,900,4946
round_shots,200,600,100,100,100,100
round_queries,200,1800,2500,8500,32700,786300
round_k,1,12,42,163,732,3931
round_shots,200,700,100,100,100
round_queries,200,2100,2700,10100,189100
round_k,1,13,50,202,945
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,900,3100,9900,39300,985500
round_k,1,4,15,49,196,913,4927
round_shots,300,600,200,100,100
round_queries,300,1800,5000,11900,214900
round_k,1,12,59,238,1074
round_shots,200,700,100,100,100,100
round_queries,200,2100,900,2900,10500,199700
round_k,1,4,14,52,212,998
round_shots,100,600,200,100,100
round_queries,100,1800,4600,11300,211100
round_k,1,11,56,227,1055
round_shots,300,600,100,100,100,100
round_queries,300,1800,2300,7300,29700,699500
round_k,1,11,36,148,660,3497
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7900,31500,749100
round_k,1,11,39,157,702,3745
round_shots,200,600,100,100,100,100
round_queries,200,1800,2500,7500,27900,638500
round_k,1,12,37,139,613,3192
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,8100,33300,821500
round_k,1,11,40,166,768,4107
round_shots,200,700,100,100,100
round_queries,200,2100,2700,9700,189900
round_k,1,13,48,199,949
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7300,27100,639700
round_k,1,11,36,135,613,3198
round_shots,400,600,100,100,100,100
round_queries,400,1800,2300,7300,27100,636900
round_k,1,11,36,135,613,3184
round_shots,200,400,100,100,100,100
round_queries,200,1200,900,3100,11300,212300
round_k,1,4,15,56,227,1061
round_shots,300,600,100,100,100,100
round_queries,300,1800,2300,7300,26300,581500
round_k,1,11,36,131,566,2907
round_shots,200,400,100,100,100,100
round_queries,200,1200,1900,7100,27300,618500
round_k,1,9,35,136,596,3092
round_shots,200,600,200,100,100
round_queries,200,1800,5000,11700,221700
round_k,1,12,58,232,1108
round_shots,200,400,100,100,100,100
round_queries,200,1200,900,3300,10700,207700
round_k,1,4,16,53,220,1038
round_shots,300,600,100,100,100,100
round_queries,300,1800,2500,7700,29300,656900
round_k,1,12,38,146,631,3284
round_shots,300,500,100,100,100,100
round_queries,300,1500,2100,7100,28900,658700
round_k,1,10,35,144,636,3293
round_shots,100,700,200,100,100
round_queries,100,2100,5000,11700,204100
round_k,1,12,58,224,1020
round_shots,200,600,100,100,100,100
round_queries,200,1800,900,3100,11300,203100
round_k,1,4,15,56,214,1015
round_shots,300,700,100,100,100,100
round_queries,300,2100,2500,9300,36300,841300
round_k,1,12,46,181,796,4206
round_shots,300,600,100,100,100,100
round_queries,300,1800,2300,7300,29700,688500
round_k,1,11,36,148,663,3442
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7500,28900,650100
round_k,1,11,37,144,632,3250
round_shots,300,600,100,100,100,100
round_queries,300,1800,2300,7900,32900,797100
round_k,1,11,39,164,746,3985
round_shots,300,200,100,100,100,100,100
round_queries,300,600,900,2700,9900,39300,980700
round_k,1,4,13,49,196,907,4903
round_shots,100,500,100,100,100,100,100
round_queries,100,1500,900,2700,9100,36500,890700
round_k,1,4,13,45,182,826,4453
round_shots,200,700,100,100,100,100
round_queries,200,2100,2500,7900,30300,737300
round_k,1,12,39,151,699,3686
round_shots,100,600,100,100,100,100,100
round_queries,100,1800,900,3100,10100,39900,984100
round_k,1,4,15,50,199,915,4920
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7500,31100,756100
